MARKET_CD,HSN_CD,HSN_NM,TOWN_CD,TOWN_NM,ZIP,STORE_CD,STORE_NM,ADDR,ISOPEN
HL,06,桃園市,327,新屋區,327,2910,桃縣桃濱店,桃園市新屋區中山西路三段６５０號,Y
HL,03,新北市,235,中和區,235,2911,北縣和大店,新北市中和區自立路２０巷１號,Y
HL,03,新北市,221,汐止區,221,2912,北縣汐忠店,新北市汐止區忠三街１９號,Y
HL,12,嘉義縣,604,竹崎鄉,604,2917,嘉縣嘉棹店,嘉義縣竹崎鄉中和村石棹２２之１９號,Y
HL,05,新竹縣,303,湖口鄉,303,2920,竹縣竹蓮店,新竹縣湖口鄉中平路一段３６８、３７０號,Y
HL,05,新竹縣,302,竹北市,302,2921,竹北竹發店,新竹縣竹北市縣政二路１７５、１７７號,Y
HL,07,苗栗縣,350,竹南鎮,350,2922,苗縣苗旺店,苗栗縣竹南鎮中美里５鄰西門１０號,Y
HL,03,新北市,241,三重區,241,2935,北縣重錦店,新北市三重區中央北路２號,Y
HL,03,新北市,234,永和區,234,2941,北縣永任店,新北市永和區永和路二段２１７號,Y
HL,06,桃園市,320,中壢區,320,2948,中壢桃萱店,桃園市中壢區永福路１０５５號,Y
HL,07,苗栗縣,356,後龍鎮,356,2950,苗縣苗發店,苗栗縣後龍鎮新民里１２鄰中心路１２０~１２、１２１號,Y
HL,26,新竹市,381,東區,300,2952,新竹竹群店,新竹市東區金山２３街３６、３８號,Y
HL,11,南投縣,542,草屯鎮,542,2955,南投投家店,南投縣草屯鎮博愛路１３２１號,Y
HL,03,新北市,247,蘆洲區,247,2958,北縣蘆旺店,新北市蘆洲區正和街４７號,Y
HL,06,桃園市,337,大園區,337,2959,桃縣華航店,桃園市大園區航勤南路９號(華航修護廠餐廳),Y
HL,19,屏東縣,900,屏東市,900,2961,屏東屏敬店,屏東縣屏東市莊敬街一段５６號,Y
HL,06,桃園市,325,龍潭區,325,2962,桃縣龍吟店,桃園市龍潭區中原路一段５０６號,Y
HL,06,桃園市,327,新屋區,327,2963,桃縣桃丹店,桃園市新屋區中山路４５７號,Y
HL,26,新竹市,381,東區,300,2965,新竹竹旺店,新竹市東區光復路二段２７５-１號,Y
HL,19,屏東縣,912,內埔鄉,912,2968,屏縣屏瑋店,屏東縣內埔鄉美和村學人路２９１號,Y
HL,26,新竹市,382,北區,300,2972,新竹竹勇店,新竹市北區中和路１４６號壹樓,Y
HL,01,台北市,110,信義區,110,2982,北市信北店,台北市信義區中坡北路１７、１９號,Y
HL,26,新竹市,381,東區,300,2987,新竹竹高店,新竹市東區高峰路１號,Y
HL,06,桃園市,338,蘆竹區,338,2988,桃縣桃環店,桃園市蘆竹區南工路１５０號,Y
HL,06,桃園市,325,龍潭區,325,2990,桃縣桃亮店,桃園市龍潭區中興路６４９、６５１號,Y
HL,06,桃園市,325,龍潭區,325,2991,桃縣桃益店,桃園市龍潭區中豐路５２９、５３１號,Y
HL,03,新北市,220,板橋區,220,2995,北縣板雅店,新北市板橋區南雅東路１００巷３號一樓,Y
HL,08,台中市,402,南區,402,2998,台中中慶店,台中市南區樹德里１２鄰大慶街二段２７號,Y
HL,16,高雄市,813,左營區,813,2999,高市高富店,高雄市左營區富民路３５０號,Y
HL,03,新北市,220,板橋區,220,3003,北縣板美店,新北市板橋區重慶路２９０巷９號,Y
HL,06,桃園市,333,龜山區,333,3008,桃縣桃摩店,桃園市龜山區文化三路９５、９７號,Y
HL,05,新竹縣,302,竹北市,302,3015,竹北竹慶店,新竹縣竹北市中山路１２號,Y
HL,06,桃園市,337,大園區,337,3016,桃縣桃品店,桃園市大園區三民路二段５９１、５９３號２F,Y
HL,06,桃園市,333,龜山區,333,3017,桃縣桃頌店,桃園市龜山區大同路３５８、３６４號,Y
HL,06,桃園市,330,桃園區,330,3018,桃市桃恩店,桃園市桃園區文中路６９１、６９３號,Y
HL,06,桃園市,334,八德區,334,3025,八德桃棒店,桃園市八德區大福街８６號,Y
HL,06,桃園市,324,平鎮區,324,3027,平鎮桃爺店,桃園市平鎮區關爺西路１、１-１號,Y
HL,05,新竹縣,302,竹北市,302,3028,竹北竹凰店,新竹縣竹北市鳳岡路三段２４５號,Y
HL,03,新北市,236,土城區,236,3029,北縣城吉店,新北市土城區延吉街９６號,Y
HL,06,桃園市,330,桃園區,330,3031,桃市桃桐店,桃園市桃園區桃鶯路２２０號,Y
HL,01,台北市,112,北投區,112,3034,北市關渡店,台北市北投區知行路３１４號、３１６巷２號,Y
HL,19,屏東縣,907,鹽埔鄉,907,3036,屏縣屏欣店,屏東縣鹽埔鄉新圍村維新路１１２之１號,Y
HL,06,桃園市,320,中壢區,320,3042,中壢桃通店,桃園市中壢區中正路１０９６號,Y
