"MARKET_CD","MARKET_NM","HSN_CD","HSN_NM","TOWN_CD","TOWN_NM","ROAD_CD","ROAD_NM","STORE_CD","STORE_NM","ADDR","ISOPEN","ZIP_CD"
"FM","全家便利商店","A","臺北市","3","中山區","","","17899","圓山飯店","台北市中山區中山北路四段１巷１號１樓（麒麟廳））","Y","104"
"FM","全家便利商店","P","雲林縣","184","虎尾鎮","","","17901","虎尾霸屯店","雲林縣虎尾鎮西屯里大屯２６６號","Y","632"
"FM","全家便利商店","I","嘉義市","166","東區","","","17900","嘉義藍潭店","嘉義市東區大雅路二段５５７號","Y","600"
"FM","全家便利商店","F","新北市","34","中和區","","","8989","中和南興店","新北市中和區興南路二段５號","Y","235"
"FM","全家便利商店","F","新北市","42","林口區","","","1096","林口工六店","新北市林口區東林里工六路７８號","Y","244"
"FM","全家便利商店","F","新北市","46","淡水區","","","47","淡水竹圍店","新北市淡水區民生路５８號","Y","251"
"FM","全家便利商店","F","新北市","43","蘆洲區","","","2463","蘆洲永成店","新北市蘆洲區成功里永樂街８３號一樓","Y","247"
"FM","全家便利商店","F","新北市","39","三重區","","","13155","三重三安店","新北市三重區三和路三段４０號","Y","241"
"FM","全家便利商店","E","高雄市","232","鼓山區","","","10848","高雄哈瑪星店","高雄市鼓山區臨海二路５２號","Y","804"
"FM","全家便利商店","J","新竹縣","66","竹北市","","","9855","竹北新竹義店","新竹縣竹北市三民路８８號１樓","Y","302"
"FM","全家便利商店","F","新北市","39","三重區","","","11369","三重新仁義店","新北市三重區仁義街１６４號１樓","Y","241"
"FM","全家便利商店","F","新北市","40","新莊區","","","1919","新莊中永店","新北市新莊區中平路６６號","Y","242"
"FM","全家便利商店","A","臺北市","8","士林區","","","2950","至善店","台北市士林區臨溪里至善路二段２６８號一樓","Y","111"
"FM","全家便利商店","H","桃園市","86","蘆竹區","","","9199","蘆竹興仁店","桃園市蘆竹區上興路１９０號","Y","338"
"FM","全家便利商店","B","臺中市","112","霧峰區","","","11289","霧峰金亞洲店","台中市霧峰區南柳村柳豐路３６８號１樓","Y","413"
"FM","全家便利商店","H","桃園市","75","中壢區","","","6778","中壢龍凱店","桃園市中壢區中央路２１８號１樓","Y","320"
"FM","全家便利商店","F","新北市","46","淡水區","","","13011","淡水源德店","新北市淡水區水源街一段１號","Y","251"
"FM","全家便利商店","E","高雄市","250","鳳山區","","","18201","鳳山鳳彥店","高雄市鳳山區鳳甲路４１８號","Y","830"
"FM","全家便利商店","F","新北市","42","林口區","","","17041","林口菁英店","新北市林口區文化三路１段１２１號１樓","Y","244"
