MARKET_CD,HSN_CD,HSN_NM,TOWN_CD,TOWN_NM,ZIP,STORE_CD,STORE_NM,ADDR,ISOPEN
FM,,新北市,,三重區,241,15946,三重新正店,新北市三重區中正南路１８４號１樓,Y
FM,,台中市,,豐原區,420,15947,豐原大道店,台中市豐原區北陽里１３鄰豐原大道四段２９３號,Y
FM,,高雄市,,杉林區,846,15948,杉林農會店,高雄市杉林區清水路４５號,Y
FM,,高雄市,,三民區,807,15949,高雄清華店,高雄市三民區澄和路６５號１＆２樓,Y
FM,,新北市,,汐止區,221,15955,汐止宏國店,新北市汐止區大同路２段２８３號,Y
FM,,台北市,,信義區,110,15953,大道店,台北市信義區大道路７９號１樓,Y
FM,,台北市,,中正區,100,15956,新惠安店,台北市中正區中華路二段３０７巷４６號,Y
FM,,新北市,,三重區,241,15958,三重福溪店,新北市三重區溪尾街５６號,Y
FM,,新北市,,新莊區,242,15960,新莊金豐店,新北市新莊區豐年街６６號１樓,Y
FM,,新北市,,新莊區,242,15961,新莊仁義店,新北市新莊區福壽街３８號１Ｆ,Y
FM,,新北市,,板橋區,220,15962,板橋板川店,新北市板橋區四川路二段２４５巷７號１樓,Y
FM,,台南市,,東區,701,15966,台南一中店,台南市東區民族路一段１號,Y
FM,,雲林縣,,虎尾鎮,632,15965,虎尾興南店,雲林縣虎尾鎮興南里興南１５８之１２號,Y
FM,,新竹市,,東區,300,15963,新竹新莊店,新竹市東區新莊街５２號１樓,Y
FM,,高雄市,,苓雅區,802,15969,高雄永昌店,高雄市苓雅區成功一路１６８之２號,Y
FM,,新北市,,土城區,236,16000,土城御昇店,新北市土城區裕生路１２號１樓,Y
FM,,桃園市,,平鎮區,324,16562,平鎮南東店,桃園市平鎮區中豐路南勢二段１號,Y
FM,,高雄市,,楠梓區,811,16567,高雄後勁店,高雄市楠梓區後昌路１３１號１樓,Y
FM,,桃園市,,桃園區,330,16563,桃園龍昇店,桃園市桃園區介壽路１７號一樓,Y
FM,,雲林縣,,二崙鄉,649,16566,二崙永定店,雲林縣二崙鄉永定村永定路４０７號,Y
FM,,台北市,,大安區,106,16709,台新店,台北市大安區新生南路三段８４之８號,Y
FM,,新竹縣,,湖口鄉,303,16715,湖口文化店,新竹縣湖口鄉文化路３２號,Y
FM,,新北市,,永和區,234,16708,永和國和店,新北市永和區國中路８６巷２號,Y
FM,,台中市,,潭子區,427,16716,潭子金潭店,台中市潭子區興華一路２６１號,Y
FM,,台南市,,安南區,709,16718,台南新安田店,台南市安南區海佃路一段３４７號,Y
FM,,台北市,,士林區,111,16707,福林店,台北市士林區福林里中正路２３３號，２３３之１號,Y
FM,,桃園市,,楊梅區,326,16713,楊梅富岡店,桃園市楊梅區中正路９５、９７號１樓,Y
FM,,桃園市,,蘆竹區,338,16712,蘆竹南崁店,桃園市蘆竹區南崁路２２８號,Y
FM,,新北市,,新莊區,242,16711,新莊新幸福店,新北市新莊區中平路１８４巷１０弄７號１樓,Y
FM,,基隆市,,安樂區,204,16733,基隆新安和店,基隆市安樂區安和一街１２４號,Y
FM,,台南市,,永康區,710,16738,永康五王店,台南市永康區五王里中山東路２２０號,Y
FM,,台中市,,南區,402,16737,台中新學府店,台中市南區學府路１６８巷２號,Y
FM,,新北市,,汐止區,221,16735,汐止龍安店,新北市汐止區大同路二段１８４巷１１號,Y
FM,,台北市,,大安區,106,16746,敦安店,台北市大安區安和路一段１１２巷２７號,Y
FM,,新北市,,中和區,235,16747,中和保健店,新北市中和區保健路１７號,Y
FM,,台北市,,北投區,112,16748,唭哩店,臺北市北投區西安街二段２８３號,Y
FM,,新北市,,中和區,235,16749,中和華隆店,新北市中和區華新街１０９巷１－３號,Y
FM,,新北市,,中和區,235,16750,中和錦中店,新北市中和區錦中里錦和路３５６號１樓,Y
FM,,台北市,,中山區,104,16751,林森北路店,台北市中山區林森北路１１９巷４９，５１號,Y
FM,,台北市,,中山區,104,16752,江寧店,台北市中山區民權東路三段６４號１樓,Y
FM,,新北市,,中和區,235,16753,中和新慶店,新北市中和區員山路１３７號１樓,Y
FM,,新北市,,土城區,236,16755,土城美仁店,新北市土城區學府路２段２１號１樓,Y
FM,,新竹市,,東區,300,16756,新竹頎邦二店,新竹市東區力行五路３號２樓（新竹科學園區）,Y
FM,,嘉義市,,西區,600,16757,嘉義國楊店,嘉義市西區垂楊路４３４號,Y
FM,,嘉義市,,西區,600,16758,嘉義新榮店,嘉義市西區新榮路３３７號之２　１樓,Y
FM,,台南市,,安南區,709,16760,台南安慶店,台南市安南區理想里大安街７２８號一樓,Y
FM,,宜蘭縣,,宜蘭市,260,16765,宜蘭嵐峰店,宜蘭縣宜蘭市嵐峰路１段１１０號１樓,Y
FM,,新北市,,三重區,241,16766,三重街口店,新北市三重區頂崁街２１０巷２號１樓,Y
FM,,高雄市,,苓雅區,802,16768,高雄大遠百店,高雄市苓雅區三多四路２１號（１２樓櫃位）,Y
FM,,台東縣,,關山鎮,956,17000,台東關山店,台東縣關山鎮里瓏里民權路１之６號一樓,Y
FM,,彰化縣,,員林市,510,16997,員林新員農店,彰化縣員林市三條里員水路二段３２０號,Y
FM,,彰化縣,,田中鎮,520,16996,彰化高鐵店,彰化縣田中鎮站區路二段９９號,Y
FM,,新北市,,深坑區,222,16992,深坑埔新店,新北市深坑區埔新里埔新街９３號１樓,Y
FM,,基隆市,,安樂區,204,16993,基隆基金店,基隆市安樂區基金三路１４５號,Y
FM,,台南市,,安定區,745,16998,安定海寮店,台南市安定區海寮１０－２號１樓部分,Y
FM,,高雄市,,前鎮區,806,17001,高雄鄭和店,高雄市前鎮區鄭和南路４２０之１號,Y
FM,,新北市,,土城區,236,17002,土城青水店,新北市土城區青仁路３２號１樓,Y
FM,,台中市,,梧棲區,435,17003,梧棲金牌店,台中市梧棲區中華路１段１００１號,Y
FM,,南投縣,,南投市,540,17005,南投新中興店,南投縣南投市學藝路３號,Y
FM,,桃園市,,大園區,337,17044,大園田心店,桃園市大園區新興路８５號,Y
FM,,苗栗縣,,苗栗市,360,17006,苗栗台鐵店,苗栗縣苗栗市為公路１－１號３樓,Y
FM,,台北市,,北投區,112,17007,尊賢店,台北市北投區尊賢街２６０號１Ｆ,Y
FM,,台北市,,中正區,100,17008,新龍口店,台北市中正區汀州路一段２４４號,Y
FM,,基隆市,,安樂區,204,17009,基隆新樂強店,基隆市安樂區安樂路一段２０６號１樓,Y
FM,,新竹市,,北區,300,17010,新竹新武陵店,新竹市北區武陵路２６７號１樓,Y
FM,,苗栗縣,,頭份鎮,351,17011,頭份武昌店,苗栗縣頭份市中華路１３２２號１樓,Y
FM,,台中市,,東區,401,17012,台中金站店,台中市東區復興路四段１４７號,Y
FM,,台中市,,大里區,412,17013,大里永勝店,台中市大里區永隆里大明路４６９號一樓,Y
FM,,台南市,,安平區,708,17015,台南國平店,台南市安平區平通里國平路５９９之１號１樓,Y
FM,,台南市,,東區,701,17016,台南仁東店,臺南市東區仁東街３２號１樓,Y
FM,,新北市,,板橋區,220,17023,板橋僑一店,新北市板橋區僑中一街１２４巷９弄１號,Y
FM,,新北市,,蘆洲區,247,17018,蘆洲民仁店,新北市蘆洲區民族路４４８號,Y
FM,,新北市,,新莊區,242,17020,新莊立信店,新北市新莊區立信一街１２號,Y
